Family,ID,Sex,Treatment,Weight,Size,Eclosion,LastObserved,Death/Removal,Censored,Notes,Lifespan,1st.Trial,1st.Chamber,1st.StartTime,1st.Session,1st.Comments,2nd.Trial,2nd.Chamber,2nd.StartTime,2nd.Session,2nd.Comments,3rd.Trial,3rd.Chamber,3rd.StartTime,3rd.Session,3rd.Comments,Activity,Block
xE,7,M,B,0.2235,5.516666667,28/02/2022,19/06/2022,22/06/2022,1,,114,16/03/2022,G,10:11,15,,03/05/2022,D,15:22,113,,02/06/2022,G,,202,,Flight,B
xB,12,M,A,0.1182,4.33,28/02/2022,19/06/2022,22/06/2022,1,,114,13/03/2022,F,09:48,12,,03/05/2022,C,,112,INJURED WINGS,03/06/2022,F,08:42,203,,Flight,B
xA,1,M,B,0.2573,5.616666667,28/02/2022,19/06/2022,22/06/2022,1,,114,,,,,,,,,,,,,,,,Waiting,B
xH,9,M,B,0.1538,5.223333333,28/02/2022,19/06/2022,22/06/2022,1,,114,,,,,,03/05/2022,A,,112,,01/06/2022,B,,201,,Flight,B
xJ,7,F,B,0.2161,5.52,06/03/2022,22/06/2022,26/06/2022,1,,112,25/03/2022,D,14:44,32,,07/05/2022,A,08:37,119,,08/06/2022,C,14:49,209,,Flight,C
xJ,1,M,A,0.1155,4.233333333,06/03/2022,22/06/2022,26/06/2022,1,,112,25/03/2022,F,14:44,32,,06/05/2022,B,14:25,118,,10/06/2022,C,10:43,211,,Flight,C
xO,9,M,B,0.1413,5.016666667,06/03/2022,22/06/2022,26/06/2022,1,,112,16/03/2022,B,10:11,15,,05/05/2022,B,12:47,116,,04/06/2022,D,10:16,205,,Flight,C
xN,15,F,A,0.1321,4.213333333,06/03/2022,22/06/2022,26/06/2022,1,,112,,,,,,,,,,,,,,,,Waiting,C
xE,8,M,A,0.0934,4.246666667,28/02/2022,11/06/2022,19/06/2022,1,,111,15/03/2022,G,14:00,14,,01/05/2022,D,15:10,111,,03/06/2022,B,08:42,203,,Flight,B
xA,5,M,B,0.2121,5.54,28/02/2022,11/06/2022,19/06/2022,1,,111,,,,,,,,,,,,,,,,Waiting,B
