"Family","ID","Sex","oTreatment","oActivity","Size","Censored","Lifespan","Treatment","Activity","Block","group"
"xAZ","xAZ3","F","B","Waiting",5.363333333,1,74,"B","Waiting","G","enhanced"
"xAG","xAG10","M","B","Waiting",5.743333333,1,73,"B","Waiting","F","enhanced"
"xS","xS12","F","B","Waiting",4.69,1,73,"B","Waiting","D","enhanced"
"xQ","xQ1","M","B","Waiting",4.31,1,73,"B","Waiting","D","enhanced"
"xS","xS4","F","A","Waiting",4.186666667,1,73,"A","Waiting","D","impoverished"
"xBH","xBH3","F","A","Flight",3.8,1,72,"A","Flight","G","impoverished"
"xBH","xBH1","M","A","Flight",3.84,1,72,"A","Flight","G","impoverished"
"xBI","xBI1","M","A","Flight",3.686666667,1,72,"A","Flight","G","impoverished"
"xAW","xAW7","M","A","Flight",4.503333333,1,72,"A","Flight","G","impoverished"
"xBK","xBK10","F","A","Flight",5.116666667,1,72,"A","Flight","G","impoverished"
"xBK","xBK9","F","A","Flight",4.85,1,72,"A","Flight","G","impoverished"
"xL","xL9","F","A","Flight",4.16,1,72,"A","Flight","C","impoverished"
"xF","xF8","F","B","Waiting",4.943333333,1,72,"B","Waiting","B","enhanced"
"xBG","xBG1","M","A","Waiting",4.17,1,72,"A","Waiting","G","impoverished"
"xBD","xBD3","M","A","Waiting",4.156666667,1,72,"A","Waiting","G","impoverished"
"xBC","xBC5","M","A","Waiting",3.916666667,1,72,"A","Waiting","G","impoverished"
"xBJ","xBJ5","F","A","Flight",4.693333333,1,71,"A","Flight","G","impoverished"
"xBI","xBI12","F","B","Flight",5.203333333,1,71,"B","Flight","G","enhanced"
"xAZ","xAZ7","M","A","Flight",4.366666667,1,71,"A","Flight","G","impoverished"
"xBK","xBK2","F","B","Flight",4.12,1,71,"B","Flight","G","enhanced"
"xBA","xBA1","M","A","Flight",3.77,1,71,"A","Flight","G","impoverished"
"xAI","xAI2","M","A","Flight",4.133333333,1,71,"A","Flight","F","impoverished"
"xZ","xZ2","F","B","Flight",5.096666667,1,71,"B","Flight","E","enhanced"
"xBB","xBB6","M","B","Waiting",5.516666667,1,71,"B","Waiting","G","enhanced"
"xAA","xAA10","F","B","Waiting",5.26,1,71,"B","Waiting","E","enhanced"
"xBJ","xBJ3","F","A","Waiting",4.306666667,1,71,"A","Waiting","G","impoverished"
"xAG","xAG6","F","A","Waiting",4.3,1,71,"A","Waiting","F","impoverished"
"xAI","xAI7","F","A","Flight",4.006666667,1,71,"A","Flight","F","impoverished"
"xBE","xBE1","M","B","Waiting",3.726666667,1,71,"B","Waiting","G","enhanced"
"xBH","xBH7","M","A","Flight",4.03,1,70,"A","Flight","G","impoverished"
"xBJ","xBJ13","M","B","Flight",4.986666667,1,70,"B","Flight","G","enhanced"
"xBF","xBF1","F","A","Flight",4.163333333,1,70,"A","Flight","G","impoverished"
"xL","xL6","F","B","Flight",4.933333333,1,69,"B","Flight","C","enhanced"
